_id,point_id,opc_tag,describe,device_description_chinese,serial,instrument,device_name_chinese,belong_co,status,value_min,value_max,unit,last_monitor_time,thickener_id,mixer_id,value_max_2,value_min_2
{'$oid': '604c8a481349e5c153ca693d'},32,SOUTHEASTORE_PRJ_OS::HIC-311PS04B/Valve.Status2,#2 Thickener Discharge Pump 2 Discharge Valve,#2浓密机2号泵出料阀门,HIC-311PS04B,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a481349e5c153ca693e'},33,SOUTHEASTORE_PRJ_OS::HIC-311PS04C/Valve.Status2,#2 Thickener Discharge Pump 2 SY1-1 Water Addition Valve DN100mm,#2浓密机2号泵稀释水阀门DN100mm,HIC-311PS04C,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a481349e5c153ca693f'},34,SOUTHEASTORE_PRJ_OS::HIC-311PS04D/Valve.Status2,#2 Thickener Discharge Pump 2 SY2-1 Water Addition Valve DN40mm,#2浓密机2号泵稀释水阀门DN40mm,HIC-311PS04D,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a481349e5c153ca6940'},35,SOUTHEASTORE_PRJ_OS::HIC-311TH01B/Valve.Status2,#1 Thickener Pumps Discharge Valve 2 - Tailing Pump,#1浓密机排尾阀门,HIC-311TH01B,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a481349e5c153ca6941'},36,SOUTHEASTORE_PRJ_OS::HIC-311TH01C/Valve.Status2,#1 Thickener Pumps Discharge Valve 3 - CEMENT MIXER 1,#1浓密机充填阀门,HIC-311TH01C,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a481349e5c153ca6942'},37,SOUTHEASTORE_PRJ_OS::HIC-311TH01D/Valve.Status2,#1 Thickener Recirc Valve,#1浓密机底流循环阀门,HIC-311TH01D,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a481349e5c153ca6943'},38,SOUTHEASTORE_PRJ_OS::HIC-311TH02B/Valve.Status2,#2 Thickener Pumps Discharge Valve 2 - Tailing Pump #1,#2浓密机排尾阀门,HIC-311TH02B,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a481349e5c153ca6944'},39,SOUTHEASTORE_PRJ_OS::HIC-311TH02C/Valve.Status2,#2 Thickener Pumps Discharge Valve 3 - CEMENT MIXER 2,#2浓密机充填阀门,HIC-311TH02C,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a481349e5c153ca6945'},40,SOUTHEASTORE_PRJ_OS::HIC-311TH02D/Valve.Status2,#2 Thickener Recirc Valve,#2浓密机底流循环阀门,HIC-311TH02D,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a491349e5c153ca6946'},41,SOUTHEASTORE_PRJ_OS::HIS-210AG01-01/DriveSpeedContr.RbkOut#Value,#1 Mixer First Stage Stirring Speed,#1搅拌机一段旋桨转速,HIS-210AG01-01,Mixer,搅拌机,METSO,normal,-1,55,%,{'$date': '2019-11-25T12:24:40Z'},0,1,0,0
{'$oid': '604c8a491349e5c153ca6947'},42,SOUTHEASTORE_PRJ_OS::HIS-210AG01-02/DriveSpeedContr.RbkOut#Value,#1 Mixer Secondary Stage Stirring Speed,#1搅拌机二段旋桨转速,HIS-210AG01-02,Mixer,搅拌机,METSO,normal,-1,55,%,{'$date': '2019-11-25T12:24:40Z'},0,1,0,0
{'$oid': '604c8a491349e5c153ca6948'},43,SOUTHEASTORE_PRJ_OS::HIS-210AG02-01/DriveSpeedContr.RbkOut#Value,#2 Mixer First Stage Stirring Speed,#2搅拌机一段旋桨转速,HIS-210AG02-01,Mixer,搅拌机,METSO,normal,-1,55,%,{'$date': '2019-11-25T12:24:40Z'},0,2,0,0
{'$oid': '604c8a491349e5c153ca6949'},44,SOUTHEASTORE_PRJ_OS::HIS-210AG02-02/DriveSpeedContr.RbkOut#Value,#2 Mixer Secondary Stage Stirring Speed,#2搅拌机二段旋桨转速,HIS-210AG02-02,Mixer,搅拌机,METSO,normal,-1,55,%,{'$date': '2019-11-25T12:24:40Z'},0,2,0,0
{'$oid': '604c8a491349e5c153ca694a'},45,SOUTHEASTORE_PRJ_OS::HIS-311TH01/DriveSpeedContr.RbkOut#Value,#1 Thickener Rake Speed,#1浓密机耙架转速,HIS-311TH01,Rake,杷架,METSO,normal,-1,60,rpm,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a491349e5c153ca694b'},46,SOUTHEASTORE_PRJ_OS::HIS-311TH02/DriveSpeedContr.RbkOut#Value,#2 Thickener Rake Speed,#2浓密机耙架转速,HIS-311TH02,Rake,杷架,METSO,normal,-1,60,rpm,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a491349e5c153ca694c'},47,NULL,#1 Mixer Slurry concentration(Calculation),#1搅拌机膏体浓度(计算值),NULL,METSO,normal,0,100,%,{'$date': '2019-11-25T12:24:40Z'},0,1,Mixer,搅拌机,0,0
{'$oid': '604c8a491349e5c153ca694d'},48,NULL,#2 Mixer Slurry concentration(Calculation),#2搅拌机膏体浓度(计算值),NULL,METSO,normal,0,100,%,{'$date': '2019-11-25T12:24:40Z'},0,2,Mixer,搅拌机,0,0
{'$oid': '604c8a491349e5c153ca694e'},49,SOUTHEASTORE_PRJ_OS::FIC-311TH01B/OCS.PV_Out#Value,#1 Thickener Discharge Flow,#1浓密机底流流量(跟踪值),FIC-311TH01B,Flow Indicator,流量计,METSO,normal,-1,400,m3/h,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a491349e5c153ca694f'},50,SOUTHEASTORE_PRJ_OS::FIC-311TH02B/OCS.PV_Out#Value,#2 Thickener Discharge Flow,#2浓密机底流流量(跟踪值),FIC-311TH02B,Flow Indicator,流量计,METSO,normal,-1,400,m3/h,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a491349e5c153ca6950'},51,SOUTHEASTORE_PRJ_OS::LI-210BN01/MonAnalog.PV_Out#Value,#1 Cement Silo Level,#1水泥仓物料高度,LI-210BN01,Level Indicator,液位计,METSO,normal,0,100,%,{'$date': '2019-11-25T12:24:40Z'},0,0,0,0
{'$oid': '604c8a4a1349e5c153ca6951'},52,SOUTHEASTORE_PRJ_OS::LI-210BN02/MonAnalog.PV_Out#Value,#2 Cement Silo Level,#2水泥仓物料高度,LI-210BN02,Level Indicator,液位计,METSO,normal,0,100,%,{'$date': '2019-11-25T12:24:40Z'},0,0,0,0
{'$oid': '604c8a4a1349e5c153ca6952'},53,SOUTHEASTORE_PRJ_OS::LI-311TH01/MonAnalog.PV_Out#Value,#1 Thickener Mud Level,#1浓密机泥层高度,LI-311TH01,Level Indicator,液位计,METSO,normal,0,20,m,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a4a1349e5c153ca6953'},54,SOUTHEASTORE_PRJ_OS::LI-311TH02/MonAnalog.PV_Out#Value,#2 Thickener Mud Level,#2浓密机泥层高度,LI-311TH02,Level Indicator,液位计,METSO,normal,0,20,m,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a4a1349e5c153ca6954'},55,SOUTHEASTORE_PRJ_OS::Dosing$Pump$A/Flow_SP.PV_In#Value,#1 Thickener Flocculant Flow,#1浓密机絮凝剂流量,FI-311FL01D,Flow Indicator,流量计,METSO,normal,0,70,m3/h,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a4a1349e5c153ca6955'},56,SOUTHEASTORE_PRJ_OS::Dosing$Pump$C/Flow_SP.PV_In#Value,#2 Thickener Flocculant Flow,#2浓密机絮凝剂流量,FI-311FL01C,Flow Indicator,流量计,METSO,normal,0,70,m3/h,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a4a1349e5c153ca6956'},57,SOUTHEASTORE_PRJ_OS::HIS-210FDM01/Motor.RbkOut#Value,#1 Instant Cement Delivery,#1 搅拌机水泥添加速度(实际值),HIS-210FDM01,Cement Conveyor Belt,水泥传送带,METSO,normal,0,200,t/h,{'$date': '2019-11-25T12:24:40Z'},0,1,0,0
